소재지전체주소 상호명,동
서울특별시 종로구 97-2번지 지상1.2층,팔판동
서울특별시 종로구 188-14번지 (지상1층),충신동
서울특별시 종로구 63-4번지 1층 7호,무악동
서울특별시 종로구 580-1번지 지상1층,창신동
서울특별시 종로구 81-22번지 지상2층,숭인동
서울특별시 종로구 583-20번지 (지상1층),창신동
서울특별시 종로구 130-1번지,공평동
서울특별시 종로구 07-05 1층,신문로1가
서울특별시 종로구 1198번지 (지상1층),숭인동
서울특별시 종로구 202번지,명륜2가
서울특별시 종로구 22-3,창신동
서울특별시 종로구 233-2 1층,효제동
서울특별시 종로구 76-3번지 지하1층,통인동
서울특별시 종로구 238번지 지하1층 37호,신문로1가
서울특별시 종로구 627-19번지 (지하1층),창신동
"서울특별시 종로구 178-1번지 2,3층",혜화동
서울특별시 종로구 43-6번지,관철동
서울특별시 종로구 82-3번지,낙원동
서울특별시 종로구 164-1번지,명륜4가
"서울특별시 종로구 45-60번지 외2필지(45-61,45-424)지상1층",무악동
서울특별시 종로구 40번지 1층,종로2가
서울특별시 종로구 498 지상1층,창신동
서울특별시 종로구 19-12번지,관철동
서울특별시 종로구 168-1 1층,명륜2가
서울특별시 종로구 225-4 지상1층,원남동
서울특별시 종로구 580-3,창신동
서울특별시 종로구 168번지,권농동
서울특별시 종로구 1075 1층,숭인동
서울특별시 종로구 643번지 지하1층,창신동
서울특별시 종로구 149-1번지 지상1층,관수동
서울특별시 종로구 75번지 용비어천가 지상1층 105호,내수동
서울특별시 종로구 85-9번지 1층,명륜4가
서울특별시 종로구 93-6번지,돈의동
서울특별시 종로구 May-97 2층,명륜1가
서울특별시 종로구 2번지 지상1층,충신동
서울특별시 종로구 141-2번지 지상1층,통인동
서울특별시 종로구 633-24번지 (1층),창신동
서울특별시 종로구 633-6번지 (지하1층),창신동
서울특별시 종로구 258-3,부암동
서울특별시 종로구 134-2번지 지상1층,명륜3가
서울특별시 종로구 83-5번지,명륜1가
서울특별시 종로구 582-3번지 지상1층,창신동
서울특별시 종로구 233번지 경희궁자이 3단지,평동
서울특별시 종로구 1-87번지 2층,동숭동
서울특별시 종로구 02-05,종로5가
"서울특별시 종로구 93번지 외1필지, 2층 1호",낙원동
서울특별시 종로구 166번지 1층,돈의동
서울특별시 종로구 183-9번지,숭인동
서울특별시 종로구 11-6번지,청진동
서울특별시 종로구 222번지,명륜2가
서울특별시 종로구 1-73번지 (지상2층),동숭동
서울특별시 종로구 1-114번지 (3층),동숭동
서울특별시 종로구 332-14번지,종로5가
서울특별시 종로구 246-2번지,종로5가
서울특별시 종로구 191-2,청진동
서울특별시 종로구 1-100번지 3층,동숭동
서울특별시 종로구 396번지,숭인동
서울특별시 종로구 202번지,낙원동
서울특별시 종로구 21-26,명륜2가
서울특별시 종로구 173 1층,와룡동
서울특별시 종로구 1-78번지 지상5층,동숭동
